"","periodo","periodo_fecha","precios"
"648","2022-1","1/01/2022",410310314
"649","2022-1","1/01/2022",488840000
"650","2022-1","1/01/2022",591665000
"651","2022-1","1/01/2022",760140000
"652","2022-1","1/01/2022",1526460000
"653","2022-1","1/01/2022",5.38e+08
"654","2022-1","1/01/2022",8.1e+08
"655","2022-1","1/01/2022",243872000
"656","2022-1","1/01/2022",349860791
"657","2022-1","1/01/2022",537004000
"658","2022-1","1/01/2022",640475000
"659","2022-1","1/01/2022",340200000
"660","2022-1","1/01/2022",955040000
"661","2022-1","1/01/2022",333856000
"662","2022-1","1/01/2022",264110000
"663","2022-1","1/01/2022",259706000
"664","2022-1","1/01/2022",418160744
"665","2022-1","1/01/2022",5511162250
"666","2022-1","1/01/2022",1.8e+08
"667","2022-1","1/01/2022",159750000
"668","2022-1","1/01/2022",1.22e+08
"669","2022-1","1/01/2022",1.11e+08
"670","2022-1","1/01/2022",112100000
"671","2022-1","1/01/2022",278900000
"672","2022-1","1/01/2022",145403648
"673","2022-1","1/01/2022",347660000
"674","2022-1","1/01/2022",259741900
"675","2022-1","1/01/2022",394024000
"676","2022-1","1/01/2022",550614442
"677","2022-1","1/01/2022",711875000
"678","2022-1","1/01/2022",337050000
"679","2022-1","1/01/2022",6.8e+07
"680","2022-1","1/01/2022",165377409
"681","2022-1","1/01/2022",1.71e+08
"682","2022-1","1/01/2022",158900000
"683","2022-1","1/01/2022",532650000
"684","2022-1","1/01/2022",543334000
"685","2022-1","1/01/2022",2.25e+08
"686","2022-1","1/01/2022",2.35e+08
"687","2022-1","1/01/2022",1.13e+08
"688","2022-1","1/01/2022",5.08e+08
"689","2022-1","1/01/2022",134474000
"690","2022-1","1/01/2022",119229596
"691","2022-1","1/01/2022",127500000
"692","2022-1","1/01/2022",134781282
"693","2022-1","1/01/2022",300054000
"694","2022-1","1/01/2022",307632000
"695","2022-1","1/01/2022",2098800000
"696","2022-1","1/01/2022",1.75e+08
"697","2022-1","1/01/2022",225774000
"698","2022-1","1/01/2022",951872000
